year,id,league-name
2015/2016,6731,europa-league
2015/2016,1035,fa-cup
2015/2016,10,premier-league
2015/2016,1049,caraboa-cup
2015/2016,25,efl-championship
2015/2016,157,champions-league
2015/2016,35,la-liga
2015/2016,29,EFL-League-1
2015/2016,33,EFL-League-2
2015/2016,4,Bundesliga-1
2015/2016,75,ligue-1
2015/2016,74,ligue-2
2015/2016,78,Italy-Serie-B
2015/2016,69,Italy-Serie-A
2015/2016,966,LigaPro
2015/2016,40,Spain-Segunda-División
2015/2016,52,Netherland-League-1
2015/2016,56,Netherlands-League-2
2015/2016,14,Liga-Nos
2015/2016,167,Scotland-Premiership
