year,id,league-name
2013/2014,1806,europa-league
2013/2014,1037,fa-cup
2013/2014,12,premier-league
2013/2014,1051,caraboa-cup
2013/2014,27,efl-championship
2013/2014,159,champions-league
2013/2014,37,la-liga
2013/2014,31,EFL-League-1
2013/2014,7,Bundesliga-1
2013/2014,67,ligue-1
2013/2014,4164,ligue-2
2013/2014,80,Italy-Serie-B
2013/2014,71,Italy-Serie-A
2013/2014,42,Spain-Segunda-División
2013/2014,54,Netherland-League-1
2013/2014,4228,Netherlands-League-2
2013/2014,18,Liga-Nos
2013/2014,169,Scotland-Premiership
