year,id,league-name
2018/2019,1535,europa-league
2018/2019,1674,fa-cup
2018/2019,1625,premier-league
2018/2019,1675,caraboa-cup
2018/2019,1624,efl-championship
2018/2019,1626,community-shield
2018/2019,1534,champions-league
2018/2019,1677,la-liga
2018/2019,1564,EFL-League-1
2018/2019,1574,EFL-League-2
2018/2019,1636,Bundesliga-1
2018/2019,1508,ligue-1
2018/2019,1579,ligue-2
2018/2019,1749,Italy-Serie-B
2018/2019,1680,Italy-Serie-A
2018/2019,1594,LigaPro
2018/2019,1670,Spain-Segunda-División
2018/2019,1585,Netherland-League-1
2018/2019,1584,Netherlands-League-2
2018/2019,1585,Liga-Nos
2018/2019,1600,Scotland-Premiership
