year,id,league-name
2017/2018,964,europa-league
2017/2018,1033,fa-cup
2017/2018,161,premier-league
2017/2018,1047,caraboa-cup
2017/2018,165,efl-championship
2017/2018,3870,community-shield
2017/2018,247,champions-league
2017/2018,171,la-liga
2017/2018,166,EFL-League-1
2017/2018,170,EFL-League-2
2017/2018,177,Bundesliga-1
2017/2018,180,ligue-1
2017/2018,181,ligue-2
2017/2018,183,Italy-Serie-B
2017/2018,182,Italy-Serie-A
2017/2018,174,LigaPro
2017/2018,172,Spain-Segunda-División
2017/2018,178,Netherland-League-1
2017/2018,179,Netherlands-League-2
2017/2018,173,Liga-Nos
2017/2018,164,Scotland-Premiership
