year,id,league-name
2012/2013,4060,europa-league
2012/2013,3912,fa-cup
2012/2013,246,premier-league
2012/2013,4076,caraboa-cup
2012/2013,3141,efl-championship
2012/2013,4053,champions-league
2012/2013,38,la-liga
2012/2013,3950,EFL-League-1
2012/2013,4105,Bundesliga-1
2012/2013,4127,ligue-1
2012/2013,4185,ligue-2
2012/2013,81,Italy-Serie-B
2012/2013,3945,Italy-Serie-A
2012/2013,4291,LigaPro
2012/2013,43,Spain-Segunda-División
2012/2013,4226,Netherland-League-1
2012/2013,4236,Netherlands-League-2
2012/2013,4236,Liga-Nos
2012/2013,223,Scotland-Premiership
