year,id,league-name
2020/2021,4693,europa-league
2020/2021,4803,fa-cup
2020/2021,4759,premier-league
2020/2021,4780,caraboa-cup
2020/2021,4912,efl-championship
2020/2021,4657,community-shield
2020/2021,4655,champions-league
2020/2021,4944,la-liga
2020/2021,4845,EFL-League-1
2020/2021,4844,EFL-League-2
2020/2021,4673,Bundesliga-1
2020/2021,4505,ligue-1
2020/2021,4645,ligue-2
2020/2021,4972,Italy-Serie-B
2020/2021,4889,Italy-Serie-A
2020/2021,4886,LigaPro
2020/2021,4842,Spain-Segunda-División
2020/2021,4746,Netherland-League-1
2020/2021,4748,Netherlands-League-2
2020/2021,4885,Liga-Nos
2020/2021,4478,Scotland-Premiership
