year,id,league-name
2022/2023,7985,europa-league
2022/2023,7480,conference-league
2022/2023,7836,fa-cup
2022/2023,7704,premier-league
2022/2023,7579,caraboa-cup
2022/2023,7593,efl-championship
2022/2023,7348,community-shield
2022/2023,7455,champions-league
2022/2023,7665,la-liga
2022/2023,7570,EFL-League-1
2022/2023,7574,EFL-League-2
2022/2023,7664,Bundesliga-1
2022/2023,7500,ligue-1
2022/2023,7501,ligue-2
2022/2023,7864,Italy-Serie-B
2022/2023,7608,Italy-Serie-A
2022/2023,7732,LigaPro
2022/2023,7592,Spain-Segunda-División
2022/2023,7482,Netherland-League-1
2022/2023,7484,Netherlands-League-2
2022/2023,7731,Liga-Nos
2022/2023,7494,Scotland-Premiership
