year,id,league-name
2014/2015,1805,europa-league
2014/2015,1036,fa-cup
2014/2015,11,premier-league
2014/2015,1050,caraboa-cup
2014/2015,26,efl-championship
2014/2015,158,champions-league
2014/2015,36,la-liga
2014/2015,30,EFL-League-1
2014/2015,5,Bundesliga-1
2014/2015,66,ligue-1
2014/2015,76,ligue-2
2014/2015,79,Italy-Serie-B
2014/2015,70,Italy-Serie-A
2014/2015,4284,LigaPro
2014/2015,41,Spain-Segunda-División
2014/2015,53,Netherland-League-1
2014/2015,57,Netherlands-League-2
2014/2015,17,Liga-Nos
2014/2015,168,Scotland-Premiership
