year,id,league-name
2024/2025,1232,europa-league
2024/2025,12278,conference-league
2024/2025,12542,fa-cup
2024/2025,12325,premier-league
2024/2025,12473,caraboa-cup
2024/2025,12451,efl-championship
2024/2025,12036,community-shield
2024/2025,12321,champions-league
2024/2025,12316,la-liga
2024/2025,12446,EFL-League-1
2024/2025,12422,EFL-League-2
2024/2025,12529,Bundesliga-1
2024/2025,12337,ligue-1
2024/2025,12338,ligue-2
2024/2025,12621,Italy-Serie-B
2024/2025,12530,Italy-Serie-A
2024/2025,12585,LigaPro
2024/2025,12467,Spain-Segunda-División
2024/2025,12322,Netherland-League-1
2024/2025,12322,Netherlands-League-2
2024/2025,12322,Liga-Nos
2024/2025,12455,Scotland-Premiership
