year,id,league-name
2019/2020,2203,europa-league
2019/2020,2414,fa-cup
2019/2020,2012,premier-league
2019/2020,2215,caraboa-cup
2019/2020,2187,efl-championship
2019/2020,2196,community-shield
2019/2020,2202,champions-league
2019/2020,2319,la-liga
2019/2020,2191,EFL-League-1
2019/2020,2192,EFL-League-2
2019/2020,4392,Bundesliga-1
2019/2020,2392,ligue-1
2019/2020,2396,ligue-2
2019/2020,2642,Italy-Serie-B
2019/2020,2588,Italy-Serie-A
2019/2020,2320,LigaPro
2019/2020,2415,Spain-Segunda-División
2019/2020,2272,Netherland-League-1
2019/2020,2273,Netherlands-League-2
2019/2020,2272,Liga-Nos
2019/2020,2361,Scotland-Premiership
