team_id,team_name,final_ELO
470,Inter Milan,1536.45
461,AC Milan,1514.99
90,Juventus,1513.64
467,Bologna,1507.92
456,Torino,1506.49
464,Atalanta,1505.57
74,Napoli,1505.35
113,Roma,1503.74
463,Lazio,1503.51
471,Fiorentina,1502.23
466,Udinese,1489.72
460,Genoa,1488.07
459,Empoli,1486.72
473,Hellas Verona,1478.25
2356,Monza,1476.32
2330,Lecce,1474.59
455,Cagliari,1467.35
518,Como,1465.40
476,Parma,1463.89
1047,Venezia,1460.51
472,Carpi,1437.98
477,Catania,1416.09
506,Novara,1415.99
521,Robur Siena,1387.93
474,Frosinone,1365.96
1046,Cremonese,1361.26
469,Sassuolo,1354.54
462,Palermo,1347.55
513,Spezia,1341.75
501,Benevento,1332.52
468,Chievo,1316.53
475,Cesena,1305.52
505,Brescia,1297.04
478,Livorno,1293.38
465,Sampdoria,1291.14
457,Crotone,1288.17
510,Salernitana,1283.41
458,Pescara,1268.10
512,SPAL,1267.64
