team_id,team_name,final_ELO
272,Portsmouth,1612.96
243,Oxford United,1606.21
271,Luton Town,1552.56
228,Blackpool,1547.23
266,Wycombe Wanderers,1534.97
239,Coventry City,1490.77
1021,Lincoln City,1465.23
233,Bury,1442.92
244,Bristol Rovers,1438.80
226,Bolton Wanderers,1437.31
268,Exeter City,1435.22
264,Plymouth Argyle,1417.45
261,Cambridge United,1401.41
3143,Stockport County,1391.34
255,Leyton Orient,1383.46
242,Northampton Town,1376.59
275,York City,1376.38
269,Barnet,1372.60
274,Dagenham & Redbridge,1371.67
258,Stevenage,1356.58
1837,Wrexham,1354.44
267,Mansfield Town,1343.28
254,Crawley Town,1309.93
1824,Macclesfield Town,1298.59
232,Southend United,1297.64
230,Yeovil Town,1245.44
262,Hartlepool United,1218.31
231,Doncaster Rovers,1217.70
248,Bradford City,1212.33
238,Gillingham,1212.05
1833,Barrow,1211.52
236,Walsall,1210.75
241,AFC Wimbledon,1209.28
252,Crewe Alexandra,1209.14
256,Notts County,1205.00
227,Milton Keynes Dons,1202.99
3124,Harrogate Town,1200.65
259,Tranmere Rovers,1200.37
3141,Salford City,1200.11
253,Colchester United,1199.02
247,Port Vale,1198.17
273,Grimsby Town,1197.45
240,Fleetwood Town,1197.37
249,Chesterfield,1195.32
1827,Sutton United,1195.14
265,Newport County,1193.70
234,Swindon Town,1193.01
260,Cheltenham Town,1191.91
1835,Bromley,1190.96
257,Carlisle United,1189.93
263,Accrington Stanley,1189.04
270,Morecambe,1187.67
246,Oldham Athletic,1187.28
235,Rochdale,1185.43
1020,Forest Green Rovers,1152.44
237,Scunthorpe United,1095.85
