team_id,team_name,final_ELO
38,Bayern München,1641.45
40,Bayer Leverkusen,1634.99
33,Borussia Dortmund,1595.60
46,RB Leipzig,1592.69
51,Stuttgart,1549.86
44,Eintracht Frankfurt,1528.67
42,Freiburg,1514.32
541,Union Berlin,1503.98
34,Mainz 05,1491.42
49,Hoffenheim,1481.27
43,Wolfsburg,1475.73
552,Heidenheim,1473.06
39,Borussia M'gladbach,1471.46
37,Werder Bremen,1471.45
50,Augsburg,1458.74
540,Bochum,1441.34
566,Holstein Kiel,1427.40
548,St. Pauli,1425.53
41,Köln,1411.32
545,Fortuna Düsseldorf,1405.49
36,Hamburger SV,1395.37
45,Ingolstadt,1393.47
542,Kaiserslautern,1383.53
35,Schalke 04,1373.47
47,Hertha BSC,1366.34
543,Arminia Bielefeld,1363.35
128,Eintracht Braunschweig,1333.93
52,Hannover 96,1323.68
127,Nürnberg,1317.36
544,Greuther Fürth,1306.15
53,Paderborn,1296.28
48,Darmstadt 98,1289.55
